,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude,Leak Risk
71232,84205,1703000,430490,N,1,3,31,0748,,17031219820000,181459,EVANS FEE G,001,33.0,,,0.0,,3470.0,1730,1740,181459,31.8467254429998,-93.4566801480671,
1893,84243,1970190,616300,N,1,3,9203,C440,,17049201960000,181509,LCV RA SUF;W J EMMONS ET AL,001,33.0,,,0.0,,14137.0,12640,12945,181509,32.3610732548078,-92.59669428966801,
78670,84248,1692310,395050,N,1,3,7870,N114,,17085210890000,181515,LAF RA SUEE;MARIE TERRELL,002,33.0,,,0.0,,3999.0,0,0,181515,31.7490377006725,-93.4900644021583,
100946,84251,1575390,811000,N,1,3,2152,2285,,17017249560000,181518,T LEA,006,33.0,,,0.0,,1045.0,1026,1029,181518,32.8887972671485,-93.88325719299169,
81410,84259,1603150,495500,N,1,3,4160,6520,,17031219580000,181527,CROSS A,001,23.0,,,0.0,,3310.0,3073,3078,181527,32.0226010175353,-93.7807063252392,
83179,84265,2275310,640200,N,1,3,3294,D188,,17083206970000,181538,DELHI UT,182-2,33.0,,,960.0,,3380.0,3255,3276,181538,32.4236816685564,-91.60791938502409,
83180,84265,2275310,640200,N,1,3,3294,D188,,17083206970000,181538,DELHI UT,182-2,33.0,,,960.0,,3380.0,3255,3276,181538,32.4236816685564,-91.60791938502409,
83181,84265,2275310,640200,N,1,3,3294,D188,,17083206970000,181538,DELHI UT,182-2,33.0,,,960.0,,3380.0,3255,3276,181538,32.4236816685564,-91.60791938502409,
83182,84265,2275310,640200,N,1,3,3294,D188,,17083206970000,181538,DELHI UT,182-2,33.0,,,960.0,,3380.0,3255,3276,181538,32.4236816685564,-91.60791938502409,
34569,84316,2126920,752480,N,1,3,6824,C001,,17111237580000,181602,WELLS,001,23.0,,,0.0,,2207.0,2108,2135,181602,32.734742319662104,-92.0874316549827,
38592,84323,1684950,627100,N,1,3,3608,A1760,,17015217840000,181613,LOUIS KAUFMAN ET AL A,001,33.0,,,0.0,,3305.0,2660,2664,181613,32.3867209998909,-93.520769276755,
38593,84323,1684950,627100,N,1,3,3608,A1760,,17015217840000,181613,LOUIS KAUFMAN ET AL A,001,33.0,,,0.0,,3305.0,2660,2664,181613,32.3867209998909,-93.520769276755,
125462,84343,1538620,806880,N,1,3,2152,M335,,17017249690000,181645,CAPI VIV RA SU;SPURLIN,001,34.0,,,0.0,,5750.0,5462,5470,181645,32.8761299726739,-94.0028281903513,
75165,84346,1701950,409120,N,1,3,7870,5294,,17085210900000,181648,JENK RB SUE;R O MARTIN LBR CO,005,33.0,,,0.0,,3775.0,3651,3655,181648,31.7879540095532,-93.4594524949556,
75166,84346,1701950,409120,N,1,3,7870,5294,,17085210900000,181648,JENK RB SUE;R O MARTIN LBR CO,005,33.0,,,0.0,,3775.0,3651,3655,181648,31.7879540095532,-93.4594524949556,
19036,84352,2060950,783600,N,1,3,6824,S119,,17111237550000,181655,A L HAM,002,23.0,,,0.0,,2316.0,2050,2058,181655,32.820783912070496,-92.3017679870878,
