,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude
64514,16120,2089479,421348,N,01,03,7130,X004,,17059009610000,24650,LA CENTRAL SWD,027,9.0,II,5,1255,,2385,1570,1590,24650,31.8248709993838,-92.2120444501984
18729,16129,1729020,625891,N,01,03,5096,G148,,17013003890000,24679,GSPL BISTINEAU GAS STORAGE,E-1,9.0,II,11-FS,0,,5346,5178,5278,24679,32.3844592465319,-93.37797849801821
59775,16198,2089285,435861,N,01,03,7130,K053,,17059010170000,24802,LISENBY A SWD,001,9.0,II,5,0,,2240,1152,1800,24802,31.8647692222944,-92.2125454835794
64999,16327,2092181,421319,N,01,03,7130,X004,,17059011430000,25084,LA CENTRAL SWD,070,9.0,II,5-C,0,,2401,1265,1290,25084,31.8247711992437,-92.2033448601738
65000,16327,2092181,421319,N,01,03,7130,X004,,17059011430000,25084,LA CENTRAL SWD,070,9.0,II,5-C,0,,2401,1265,1290,25084,31.8247711992437,-92.2033448601738
65001,16327,2092181,421319,N,01,03,7130,X004,,17059011430000,25084,LA CENTRAL SWD,070,9.0,II,5-C,0,,2401,1265,1290,25084,31.8247711992437,-92.2033448601738
65002,16327,2092181,421319,N,01,03,7130,X004,,17059011430000,25084,LA CENTRAL SWD,070,9.0,II,5-C,0,,2401,1265,1290,25084,31.8247711992437,-92.2033448601738
62594,16405,2088095,427892,N,01,03,7130,X004,,17059009860000,25273,LA CENTRAL SWD,080,9.0,II,5,0,,2426,1625,1635,25273,31.842870793998397,-92.2164456536326
17129,16418,1735724,622672,N,01,03,5096,G148,,17013004080000,25332,GSPL BISTINEAU GAS STORAGE,B-1,9.0,II,11-FS,405,,5194,5072,5176,25332,32.375758723496,-93.3561799398098
15008,16468,1803512,777668,N,01,03,4589,B382,780,17027024820000,25483,HO NAC SU;LOWENBERG 24-A,038,9.0,II,9-IW,0,,1505,1370,1440,25483,32.803050086522,-93.1395731983441
15009,16468,1803512,777668,N,01,03,4589,B382,780,17027024820000,25483,HO NAC SU;LOWENBERG 24-A,038,9.0,II,9-IW,0,,1505,1370,1440,25483,32.803050086522,-93.1395731983441
15010,16468,1803512,777668,N,01,03,4589,B382,780,17027024820000,25483,HO NAC SU;LOWENBERG 24-A,038,9.0,II,9-IW,0,,1505,1370,1440,25483,32.803050086522,-93.1395731983441
15011,16468,1803512,777668,N,01,03,4589,B382,780,17027024820000,25483,HO NAC SU;LOWENBERG 24-A,038,9.0,II,9-IW,0,,1505,1370,1440,25483,32.803050086522,-93.1395731983441
16484,16533,1738548,624375,N,01,05,5096,G148,,17013003970000,25669,GSPL BISTINEAU GAS STORAGE,A-2,9.0,II,11-FS,0,,5100,4978,5076,25669,32.380500755229605,-93.34707610009559
63786,16638,2081473,418527,N,01,03,7130,X004,,17059009900000,25954,LA CENTRAL SWD,090,9.0,II,5,0,,2430,1523,1545,25954,31.817171917507,-92.23784392765421
63417,16641,2081407,419873,N,01,03,7130,X004,,17059009910000,25957,LA CENTRAL SWD,093,9.0,II,5-C,1080,,2420,1518,1590,25957,31.8208725801958,-92.23804597567629
63418,16641,2081407,419873,N,01,03,7130,X004,,17059009910000,25957,LA CENTRAL SWD,093,9.0,II,5-C,1080,,2420,1518,1590,25957,31.8208725801958,-92.23804597567629
63419,16641,2081407,419873,N,01,03,7130,X004,,17059009910000,25957,LA CENTRAL SWD,093,9.0,II,5-C,1080,,2420,1518,1590,25957,31.8208725801958,-92.23804597567629
19258,16646,1726366,626022,N,01,03,5096,G148,,17013003880000,25967,GSPL BISTINEAU GAS STORAGE,D-4,9.0,II,11-FS,0,,5315,5170,5270,25967,32.3847599136799,-93.3865790428829
33393,16738,1699675,720081,N,01,03,1432,0492,,17015019560000,26167,BLVU NAC FF4 SU;WYCHE,050,9.0,II,9-FF,0,,454,387,423,26167,32.642653035852,-93.47578122981199
33989,16739,1698999,720232,N,01,03,1432,0492,,17015019860000,26168,BLVU NAC FF4 SU;WYCHE,020A,9.0,II,9-FF,0,,500,381,410,26168,32.643051281738,-93.47798156808051
33990,16739,1698999,720232,N,01,03,1432,0492,,17015019860000,26168,BLVU NAC FF4 SU;WYCHE,020A,9.0,II,9-FF,0,,500,381,410,26168,32.643051281738,-93.47798156808051
63189,16789,2084030,422650,N,01,03,7130,R250,,17059010060000,26272,COCKERHAM SWD,002,9.0,II,5,0,,2375,1546,1556,26272,31.8284889356239,-92.22957861342242
63190,16789,2084030,422650,N,01,03,7130,R250,,17059010060000,26272,COCKERHAM SWD,002,9.0,II,5,0,,2375,1546,1556,26272,31.8284889356239,-92.22957861342242
63191,16789,2084030,422650,N,01,03,7130,R250,,17059010060000,26272,COCKERHAM SWD,002,9.0,II,5,0,,2375,1546,1556,26272,31.8284889356239,-92.22957861342242
63192,16789,2084030,422650,N,01,03,7130,R250,,17059010060000,26272,COCKERHAM SWD,002,9.0,II,5,0,,2375,1546,1556,26272,31.8284889356239,-92.22957861342242
90672,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
90673,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
90674,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
90675,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
90676,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
90677,17000,2106271,335989,N,01,03,7040,X004,,17059023730000,26692,GOODPINE A HOC SWD,033,9.0,II,5,0,,4282,2305,2350,26692,31.5900772435475,-92.1588406318544
32731,17026,1700442,719783,N,01,03,1432,0492,,17015019570000,26750,BLVU NAC FF4 SU;WYCHE,063,9.0,II,9-FF,0,,489,430,451,26750,32.6418529886053,-93.4732810194808
33626,17028,1699272,719793,N,01,03,1432,0492,,17015019660000,26752,BLVU NAC FF4 SU;WYCHE,065,9.0,II,9-FF,0,,432,352,390,26752,32.641851517080696,-93.47708189532361
64757,17182,2077481,411934,N,01,03,7130,P158,,17059005820000,27025,TREMONT H SWD,019,9.0,II,5,0,,2379,1210,1620,27025,31.7990733454705,-92.250744875104
